UNIT,SN,SCODE,POPGRATE,INDGRATE,AGGRATE,AGNET
FL,Florida,0,1.0805329,3.57572,2.07,1498.196
ID,Idaho,1,1.0355864,6.92285,2.43,1477.387
IL,Illinois,2,0.2370381,3.78827,1.25,5949.076
MN,Minnesota,3,0.3826805,5.77084,1.48,7032.647
WY,Wyoming,4,0.7823525,9.20324,0.91,235.988
AZ,Arizona,5,1.3923191,6.63873,1.47,600.395
CO,Colorado,6,1.3835457,10.7884,1.73,1348.471
NV,Nevada,7,0.795771,7.23796,1.78,168.562
CA,Califronia,8,0.7178447,5.21919,2.26,8523.285
UT,Utah,9,1.6369381,7.49307,1.47,298.404
NM,New Mexico,10,1.1171679,9.45421,2.25,234.87
AL,Alabama,11,0.336911157,4.66665,1.63,1066.431
KS,Kansas,12,0.444394475,6.34771,1.73,3144.419
TN,Tennessee,13,0.74839582,3.89105,1.66,3289.165
VA,Virginia,14,0.7725758,3.25036,1.13,520
