Scenario,RN,RC,SN,SC,UrbanWaterConservation,Colorado,AgWaterConservation,Other
1,AZ_Other,10,Arizona,4,50,80,100,100
1,AZ_West,9,Arizona,4,100,100,100,100
1,AZ_Central,8,Arizona,4,100,100,100,100
1,CA_Other,4,Califor,6,100,100,100,100
1,CA_Imperial,3,Califor,6,100,100,100,100
1,CA_Urban,1,Califor,6,100,100,100,100
1,CA_Basin,2,Califor,6,100,100,100,100
1,CO_FrontRange,17,Colorad,8,100,100,100,100
1,CO_Other,19,Colorad,8,100,100,100,100
1,CO_Basin,18,Colorad,8,100,100,100,100
1,NV_Other,7,Nevada,32,100,100,100,100
1,NV_LasVegas,5,Nevada,32,100,100,100,100
1,NV_Basin,6,Nevada,32,100,100,100,100
1,NM_Urban,20,NewMexi,35,100,100,100,100
1,NM_Basin,21,NewMexi,35,100,100,100,100
1,NM_Other,22,NewMexi,35,100,100,100,100
1,UT_Other,13,Utah,49,100,100,100,100
1,UT_Urban,11,Utah,49,100,100,100,100
1,UT_Basin,12,Utah,49,100,100,100,100
1,WY_Urban,14,Wyoming,56,100,100,100,100
1,WY_Basin,15,Wyoming,56,100,100,100,100
1,WY_Other,16,Wyoming,56,100,100,100,100
1,MX,23,Mexico,999,100,100,100,100
